City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,78.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Madhipura,IN,85.17,broken clouds,25.9167,86.7833,SPOT ON 64083 Hotel Ganga
3,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Talara,PE,81.36,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
7,Ponta Do Sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
9,Honiara,SB,77.34,overcast clouds,-9.4333,159.95,Heritage Park Hotel
11,Rikitea,PF,77.7,clear sky,-23.1203,-134.9692,People ThankYou
12,Tuban,ID,77.86,overcast clouds,-6.8976,112.0649,Hotel Mustika
14,Kapra,IN,84.9,overcast clouds,17.4846,78.561,Hotel Swagath Grand - Dr AS Rao Nagar
17,Bethel,US,69.35,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Diamantina,BR,71.8,scattered clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
23,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Westport,US,70.3,few clouds,41.1415,-73.3579,The Inn at Longshore
27,Chuy,UY,66.83,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Lompoc,US,74.7,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
31,Virginia Beach,US,71.06,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
32,Cidreira,BR,67.37,scattered clouds,-30.1811,-50.2056,Hotel Castelo
33,Rawson,AR,78.96,clear sky,-43.3002,-65.1023,Hosteria Sampedro
38,San Patricio,US,82.27,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
39,Novo Aripuana,BR,81.23,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
43,Caravelas,BR,75.92,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
44,Manono,CD,70.68,overcast clouds,-7.3,27.4167,Hotel hewa bora
48,La Asuncion,VE,85.73,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
49,Marang,MY,78.71,broken clouds,5.2056,103.2059,DBarakah Homestay
51,Coracora,PE,65.26,few clouds,-15.0333,-73.7833,Hotel Universo
54,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
56,Hilo,US,78.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Boca Do Acre,BR,80.47,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
59,Takoradi,GH,80.69,broken clouds,4.8845,-1.7554,Raybow International Hotel
61,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
63,Kavaratti,IN,82.92,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
64,Kahului,US,79.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
65,Biak,ID,76.78,moderate rain,-0.9131,122.8766,Penginapan Kim
68,Mahebourg,MU,75.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Teguise,ES,68.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
71,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
74,Sabha,LY,79.86,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
75,Butaritari,KI,81.01,broken clouds,3.0707,172.7902,Isles Sunset Lodge
77,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
78,Chimore,BO,78.39,overcast clouds,-16.9833,-65.1333,Bichito
79,Brigantine,US,71.2,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
