City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,78.48,71,96,8.01,overcast clouds
1,Madhipura,IN,25.9167,86.7833,85.17,12,65,7.96,broken clouds
2,Kungurtug,RU,50.5994,97.5228,19.27,93,22,2.15,few clouds
3,Souillac,MU,-20.5167,57.5167,75.58,88,75,11.5,light intensity shower rain
4,Chokurdakh,RU,70.6333,147.9167,7.61,96,100,3.69,overcast clouds
5,Talara,PE,-4.5772,-81.2719,81.36,54,75,18.41,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,52.81,64,81,15.39,broken clouds
7,Ponta Do Sol,PT,32.6667,-17.1,66.7,74,100,3.2,overcast clouds
8,Bluff,NZ,-46.6,168.3333,52.81,67,68,33.69,broken clouds
9,Honiara,SB,-9.4333,159.95,77.34,88,100,1.52,overcast clouds
10,Portland,US,45.5234,-122.6762,52.52,64,10,3.0,clear sky
11,Rikitea,PF,-23.1203,-134.9692,77.7,70,2,16.93,clear sky
12,Tuban,ID,-6.8976,112.0649,77.86,86,100,4.29,overcast clouds
13,Jumla,NP,29.2747,82.1838,45.97,49,3,6.87,clear sky
14,Kapra,IN,17.4846,78.561,84.9,36,100,8.14,overcast clouds
15,Port Elizabeth,ZA,-33.918,25.5701,59.31,71,75,3.44,broken clouds
16,Aklavik,CA,68.2191,-135.0107,2.1,82,94,3.74,overcast clouds
17,Bethel,US,41.3712,-73.414,69.35,24,12,11.01,few clouds
18,Diamantina,BR,-18.2494,-43.6003,71.8,70,44,6.58,scattered clouds
19,Hayden,US,47.766,-116.7866,41.97,70,100,1.01,overcast clouds
20,Kashi,CN,39.4547,75.9797,63.61,23,0,4.47,clear sky
21,Avera,US,33.194,-82.5271,78.55,33,1,10.25,clear sky
22,Albany,US,42.6001,-73.9662,67.3,21,95,3.0,overcast clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,86,10.92,overcast clouds
24,Hobart,AU,-42.8794,147.3294,50.05,81,100,3.44,overcast clouds
25,Westport,US,41.1415,-73.3579,70.3,24,15,4.0,few clouds
26,Synya,RU,65.3718,58.0387,23.36,92,100,8.61,overcast clouds
27,Chuy,UY,-33.6971,-53.4616,66.83,59,57,8.95,broken clouds
28,Lompoc,US,34.6391,-120.4579,74.7,65,75,25.01,broken clouds
29,Lebu,CL,-37.6167,-73.65,58.03,73,9,12.39,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,57.78,64,97,11.05,overcast clouds
31,Virginia Beach,US,36.8529,-75.978,71.06,31,21,9.95,few clouds
32,Cidreira,BR,-30.1811,-50.2056,67.37,59,29,9.35,scattered clouds
33,Rawson,AR,-43.3002,-65.1023,78.96,23,4,9.26,clear sky
34,Severo-Kurilsk,RU,50.6789,156.125,28.78,80,61,4.92,broken clouds
35,Castro,BR,-24.7911,-50.0119,61.77,58,0,5.77,clear sky
36,Busselton,AU,-33.65,115.3333,58.12,92,11,6.69,few clouds
37,Valparaiso,CL,-33.0393,-71.6273,61.03,68,75,6.91,broken clouds
38,San Patricio,US,28.017,-97.5169,82.27,63,99,17.29,overcast clouds
39,Novo Aripuana,BR,-5.1206,-60.3797,81.23,90,100,0.6,overcast clouds
40,La Ronge,CA,55.1001,-105.2842,26.82,33,75,3.44,broken clouds
41,Stokmarknes,NO,68.5646,14.9108,37.38,75,40,5.75,scattered clouds
42,Mataura,NZ,-46.1927,168.8643,52.48,94,99,10.29,light rain
43,Caravelas,BR,-17.7125,-39.2481,75.92,86,100,16.6,overcast clouds
44,Manono,CD,-7.3,27.4167,70.68,97,100,3.78,overcast clouds
45,Ushuaia,AR,-54.8,-68.3,49.66,71,40,19.57,scattered clouds
46,Punta Arenas,CL,-53.15,-70.9167,50.11,81,75,18.41,broken clouds
47,Thompson,CA,55.7435,-97.8558,21.36,45,75,13.8,broken clouds
48,La Asuncion,VE,11.0333,-63.8628,85.73,62,95,21.85,overcast clouds
49,Marang,MY,5.2056,103.2059,78.71,87,75,2.98,broken clouds
50,Port Macquarie,AU,-31.4333,152.9167,55.89,82,72,6.15,broken clouds
51,Coracora,PE,-15.0333,-73.7833,65.26,21,23,10.33,few clouds
52,High Level,CA,58.5169,-117.136,28.51,54,40,8.05,scattered clouds
53,Saskylakh,RU,71.9167,114.0833,-18.58,100,92,5.97,overcast clouds
54,Vaini,TO,-21.2,-175.2,77.16,88,20,4.61,few clouds
55,Asau,RO,46.4333,26.4,54.52,63,98,5.77,overcast clouds
56,Hilo,US,19.7297,-155.09,78.28,75,24,1.99,few clouds
57,Coihueco,CL,-36.6167,-71.8333,54.34,71,75,4.61,haze
58,Boca Do Acre,BR,-8.7522,-67.3978,80.47,77,100,1.07,overcast clouds
59,Takoradi,GH,4.8845,-1.7554,80.69,82,54,9.17,broken clouds
